x,Erfc,TS30,DTS (Fitted)
-2.92,0.00175016,0.00175016,0.00174628,
-2.91,0.00180714,0.00180714,0.00182164,
-2.9,0.00186581,0.00186581,0.00187877,
-2.89,0.00192621,0.00192621,0.00193779,
-2.88,0.00198838,0.00198838,0.00199872,
-2.87,0.00205236,0.00205236,0.00206159,
-2.86,0.00211821,0.00211821,0.00212644,
-2.85,0.00218596,0.00218596,0.00219331,
-2.84,0.00225568,0.00225568,0.00226223,
-2.83,0.0023274,0.0023274,0.00233324,
-2.82,0.00240118,0.00240118,0.00240639,
-2.81,0.00247707,0.00247708,0.00248171,
-2.8,0.00255513,0.00255513,0.00255925,
-2.79,0.0026354,0.0026354,0.00263907,
-2.78,0.00271794,0.00271795,0.00270371,
-2.77,0.00280281,0.00280282,0.00279007,
-2.76,0.00289007,0.00289007,0.00287866,
-2.75,0.00297976,0.00297976,0.00296955,
-2.74,0.00307196,0.00307196,0.00306283,
-2.73,0.00316672,0.00316672,0.00315855,
-2.72,0.0032641,0.0032641,0.0032568,
-2.71,0.00336416,0.00336416,0.00335764,
-2.7,0.00346697,0.00346697,0.00346115,
-2.69,0.0035726,0.0035726,0.00356741,
-2.68,0.00368111,0.00368111,0.00367647,
-2.67,0.00379256,0.00379256,0.00378843,
-2.66,0.00390703,0.00390703,0.00390335,
-2.65,0.00402459,0.00402459,0.00403941,
-2.64,0.0041453,0.0041453,0.0041586,
-2.63,0.00426924,0.00426924,0.00428118,
-2.62,0.00439649,0.00439649,0.00440719,
-2.61,0.00452711,0.00452711,0.0045367,
-2.6,0.00466119,0.00466119,0.00466978,
-2.59,0.0047988,0.0047988,0.00480649,
-2.58,0.00494002,0.00494002,0.0049469,
-2.57,0.00508493,0.00508493,0.00509109,
-2.56,0.00523361,0.00523361,0.00523912,
-2.55,0.00538615,0.00538615,0.00539107,
-2.54,0.00554262,0.00554262,0.00554702,
-2.53,0.00570313,0.00570313,0.00570706,
-2.52,0.00586774,0.00586774,0.00585131,
-2.51,0.00603656,0.00603656,0.00602178,
-2.5,0.00620967,0.00620967,0.00619638,
-2.49,0.00638715,0.00638716,0.00637521,
-2.48,0.00656912,0.00656912,0.00655839,
-2.47,0.00675565,0.00675565,0.00674602,
-2.46,0.00694685,0.00694685,0.00693821,
-2.45,0.00714281,0.00714281,0.00713506,
-2.44,0.00734363,0.00734363,0.00733668,
-2.43,0.00754941,0.00754941,0.00754318,
-2.42,0.00776025,0.00776025,0.00775467,
-2.41,0.00797626,0.00797626,0.00797126,
-2.4,0.00819754,0.00819754,0.00819306,
-2.39,0.00842419,0.00842419,0.00842018,
-2.38,0.00865632,0.00865632,0.00867386,
-2.37,0.00889404,0.00889404,0.00890985,
-2.36,0.00913747,0.00913747,0.00915171,
-2.35,0.00938671,0.00938671,0.00939953,
-2.34,0.00964187,0.00964187,0.00965342,
-2.33,0.00990308,0.00990308,0.00991347,
-2.32,0.0101704,0.0101704,0.0101798,
-2.31,0.0104441,0.0104441,0.0104525,
-2.3,0.0107241,0.0107241,0.0107317,
-2.29,0.0110107,0.0110107,0.0110174,
-2.28,0.0113038,0.0113038,0.0113099,
-2.27,0.0116038,0.0116038,0.0116092,
-2.26,0.0119106,0.0119106,0.0119155,
-2.25,0.0122245,0.0122245,0.0122289,
-2.24,0.0125455,0.0125455,0.0125494,
-2.23,0.0128737,0.0128737,0.0128555,
-2.22,0.0132094,0.0132094,0.0131929,
-2.21,0.0135526,0.0135526,0.0135377,
-2.2,0.0139034,0.0139034,0.01389,
-2.19,0.0142621,0.0142621,0.01425,
-2.18,0.0146287,0.0146287,0.0146178,
-2.17,0.0150034,0.0150034,0.0149936,
-2.16,0.0153863,0.0153863,0.0153775,
-2.15,0.0157776,0.0157776,0.0157696,
-2.14,0.0161774,0.0161774,0.0161702,
-2.13,0.0165858,0.0165858,0.0165794,
-2.12,0.017003,0.017003,0.0169972,
-2.11,0.0174292,0.0174292,0.017424,
-2.1,0.0178644,0.0178644,0.0178598,
-2.09,0.0183089,0.0183089,0.0183047,
-2.08,0.0187628,0.0187628,0.0187834,
-2.07,0.0192262,0.0192262,0.0192449,
-2.06,0.0196993,0.0196993,0.0197162,
-2.05,0.0201822,0.0201822,0.0201975,
-2.04,0.0206752,0.0206752,0.020689,
-2.03,0.0211783,0.0211783,0.0211908,
-2.02,0.0216917,0.0216917,0.021703,
-2.01,0.0222156,0.0222156,0.0222258,
-2,0.0227501,0.0227501,0.0227593,
-1.99,0.0232955,0.0232955,0.0233037,
-1.98,0.0238518,0.0238518,0.0238592,
-1.97,0.0244192,0.0244192,0.0244259,
-1.96,0.0249979,0.0249979,0.0250039,
-1.95,0.0255881,0.0255881,0.0255935,
-1.94,0.0261898,0.0261898,0.0261947,
-1.93,0.0268034,0.0268034,0.0268078,
-1.92,0.0274289,0.027429,0.0274056,
-1.91,0.0280666,0.0280666,0.0280454,
-1.9,0.0287166,0.0287166,0.0286974,
-1.89,0.029379,0.029379,0.0293616,
-1.88,0.030054,0.030054,0.0300383,
-1.87,0.0307419,0.0307419,0.0307277,
-1.86,0.0314428,0.0314428,0.0314299,
-1.85,0.0321568,0.0321568,0.0321451,
-1.84,0.0328841,0.0328841,0.0328736,
-1.83,0.033625,0.033625,0.0336155,
-1.82,0.0343795,0.0343795,0.0343709,
-1.81,0.0351479,0.0351479,0.0351402,
-1.8,0.0359303,0.0359303,0.0359233,
-1.79,0.036727,0.036727,0.0367207,
-1.78,0.037538,0.037538,0.0375323,
-1.77,0.0383636,0.0383636,0.0383585,
-1.76,0.0392039,0.0392039,0.0391993,
-1.75,0.0400592,0.0400592,0.0400858,
-1.74,0.0409295,0.0409295,0.0409537,
-1.73,0.0418151,0.0418151,0.0418371,
-1.72,0.0427162,0.0427162,0.0427362,
-1.71,0.0436329,0.0436329,0.0436511,
-1.7,0.0445655,0.0445655,0.0445819,
-1.69,0.045514,0.045514,0.0455289,
-1.68,0.0464787,0.0464787,0.0464921,
-1.67,0.0474597,0.0474597,0.0474719,
-1.66,0.0484572,0.0484572,0.0484682,
-1.65,0.0494715,0.0494715,0.0494814,
-1.64,0.0505026,0.0505026,0.0505116,
-1.63,0.0515507,0.0515507,0.0515589,
-1.62,0.0526161,0.0526161,0.0526235,
-1.61,0.0536989,0.0536989,0.0537055,
-1.6,0.0547993,0.0547993,0.0548052,
-1.59,0.0559174,0.0559174,0.0559228,
-1.58,0.0570534,0.0570534,0.0570189,
-1.57,0.0582076,0.0582076,0.0581761,
-1.56,0.0593799,0.0593799,0.0593513,
-1.55,0.0605708,0.0605708,0.0605447,
-1.54,0.0617802,0.0617802,0.0617565,
-1.53,0.0630084,0.0630084,0.0629869,
-1.52,0.0642555,0.0642555,0.064236,
-1.51,0.0655217,0.0655217,0.065504,
-1.5,0.0668072,0.0668072,0.0667912,
-1.49,0.0681121,0.0681121,0.0680976,
-1.48,0.0694366,0.0694366,0.0694235,
-1.47,0.0707809,0.0707809,0.070769,
-1.46,0.072145,0.072145,0.0721343,
-1.45,0.0735293,0.0735293,0.0735195,
-1.44,0.0749337,0.0749337,0.0749249,
-1.43,0.0763585,0.0763585,0.0763506,
-1.42,0.0778038,0.0778038,0.0777967,
-1.41,0.0792698,0.0792698,0.0792634,
-1.4,0.0807567,0.0807567,0.0807509,
-1.39,0.0822644,0.0822644,0.0823074,
-1.38,0.0837933,0.0837933,0.0838325,
-1.37,0.0853435,0.0853435,0.0853791,
-1.36,0.086915,0.086915,0.0869475,
-1.35,0.088508,0.088508,0.0885376,
-1.34,0.0901227,0.0901227,0.0901496,
-1.33,0.0917591,0.0917591,0.0917836,
-1.32,0.0934175,0.0934175,0.0934397,
-1.31,0.0950979,0.0950979,0.095118,
-1.3,0.0968005,0.0968005,0.0968187,
-1.29,0.0985253,0.0985253,0.0985419,
-1.28,0.100273,0.100273,0.100288,
-1.27,0.102042,0.102042,0.102056,
-1.26,0.103835,0.103835,0.103847,
-1.25,0.10565,0.10565,0.105661,
-1.24,0.107488,0.107488,0.107498,
-1.23,0.109349,0.109349,0.109358,
-1.22,0.111232,0.111232,0.111241,
-1.21,0.113139,0.113139,0.113147,
-1.2,0.11507,0.11507,0.115076,
-1.19,0.117023,0.117023,0.117029,
-1.18,0.119,0.119,0.118947,
-1.17,0.121,0.121,0.120952,
-1.16,0.123024,0.123024,0.12298,
-1.15,0.125072,0.125072,0.125032,
-1.14,0.127143,0.127143,0.127107,
-1.13,0.129238,0.129238,0.129205,
-1.12,0.131357,0.131357,0.131327,
-1.11,0.1335,0.1335,0.133472,
-1.1,0.135666,0.135666,0.135641,
-1.09,0.137857,0.137857,0.137834,
-1.08,0.140071,0.140071,0.140051,
-1.07,0.14231,0.14231,0.142291,
-1.06,0.144572,0.144572,0.144556,
-1.05,0.146859,0.146859,0.146844,
