x,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,
-3.681,-0.968507,2.34781,-4.39249,6.48007,-7.84276,8.03577,-7.13508,5.59014,-3.91852,2.48581,-1.43982,0.767728,-0.37889,0.1744,-0.0748825,0.0304444,-0.0114513,0.00429101,-0.00131382,0.000582222,-2.872e-05,0.000159211,0.00010391,0.000119506,0.000115283,0.000116383,0.000116107,0.000116174,0.000116158,0.000116162,0.000116161,
-3.68,-0.968108,2.34551,-4.38564,6.46625,-7.82159,8.00955,-7.10781,5.56566,-3.89918,2.47217,-1.43113,0.762671,-0.376185,0.173062,-0.0742648,0.0301787,-0.011343,0.00425029,-0.00129848,0.000577576,-2.65986e-05,0.000159149,0.00010452,0.000119919,0.000115752,0.000116836,0.000116564,0.00011663,0.000116615,0.000116618,0.000116617,
-3.679,-0.967709,2.34321,-4.3788,6.45247,-7.80047,7.98341,-7.08063,5.54128,-3.87994,2.45861,-1.42248,0.757646,-0.373498,0.171733,-0.073652,0.0299152,-0.0112357,0.00420996,-0.00128329,0.000572985,-2.44943e-05,0.000159096,0.000105131,0.000120334,0.000116222,0.000117291,0.000117023,0.000117088,0.000117073,0.000117076,0.000117076,
-3.678,-0.96731,2.34091,-4.37197,6.43871,-7.7794,7.95735,-7.05355,5.517,-3.86078,2.44511,-1.41388,0.752653,-0.37083,0.170414,-0.073044,0.0296541,-0.0111294,0.00417003,-0.00126825,0.00056845,-2.24067e-05,0.00015905,0.000105741,0.000120751,0.000116693,0.000117748,0.000117484,0.000117548,0.000117533,0.000117536,0.000117535,
-3.677,-0.966911,2.33861,-4.36515,6.42497,-7.75839,7.93137,-7.02656,5.49282,-3.84171,2.43168,-1.40534,0.747691,-0.36818,0.169105,-0.0724409,0.0293951,-0.011024,0.00413048,-0.00125335,0.00056397,-2.03358e-05,0.000159011,0.000106351,0.00012117,0.000117166,0.000118206,0.000117946,0.000118009,0.000117994,0.000117998,0.000117997,
-3.676,-0.966512,2.33631,-4.35833,6.41126,-7.73742,7.90546,-6.99967,5.46873,-3.82273,2.41832,-1.39684,0.742761,-0.365548,0.167805,-0.0718426,0.0291383,-0.0109196,0.00409132,-0.0012386,0.000559545,-1.82812e-05,0.00015898,0.000106961,0.000121592,0.000117641,0.000118667,0.00011841,0.000118472,0.000118458,0.000118461,0.00011846,
-3.675,-0.966113,2.33402,-4.35153,6.39757,-7.7165,7.87963,-6.97287,5.44475,-3.80384,2.40504,-1.38839,0.737862,-0.362934,0.166515,-0.071249,0.0288838,-0.0108161,0.00405254,-0.001224,0.000555174,-1.62427e-05,0.000158957,0.00010757,0.000122015,0.000118117,0.000119129,0.000118876,0.000118937,0.000118923,0.000118926,0.000118925,
-3.674,-0.965714,2.33172,-4.34473,6.38391,-7.69564,7.85388,-6.94617,5.42086,-3.78504,2.39182,-1.37999,0.732994,-0.360338,0.165235,-0.0706602,0.0286314,-0.0107135,0.00401414,-0.00120953,0.000550856,-1.42202e-05,0.000158941,0.00010818,0.000122442,0.000118595,0.000119592,0.000119343,0.000119403,0.000119389,0.000119392,0.000119392,
-3.673,-0.965315,2.32943,-4.33794,6.37028,-7.67482,7.8282,-6.91957,5.39707,-3.76632,2.37867,-1.37164,0.728156,-0.35776,0.163964,-0.0700761,0.0283812,-0.0106119,0.00397612,-0.0011952,0.000546591,-1.22135e-05,0.000158933,0.00010879,0.00012287,0.000119074,0.000120058,0.000119812,0.000119871,0.000119858,0.000119861,0.00011986,
-3.672,-0.964916,2.32714,-4.33116,6.35666,-7.65405,7.8026,-6.89305,5.37338,-3.74769,2.36559,-1.36334,0.723349,-0.3552,0.162703,-0.0694966,0.0281331,-0.0105112,0.00393847,-0.00118102,0.000542378,-1.02224e-05,0.000158932,0.000109399,0.0001233,0.000119555,0.000120525,0.000120283,0.000120341,0.000120328,0.000120331,0.00012033,
