x,Erfc,TS05,TS10,TS15,TS20,TS30
-2.24,0.0125455,0.0305881,0.0125253,0.0125455,0.0125455,0.0125455,
-2.23,0.0128737,0.0299344,0.0128555,0.0128737,0.0128737,0.0128737,
-2.22,0.0132094,0.0293373,0.0131929,0.0132094,0.0132094,0.0132094,
-2.21,0.0135526,0.0287947,0.0135377,0.0135526,0.0135526,0.0135526,
-2.2,0.0139034,0.0283044,0.01389,0.0139034,0.0139034,0.0139034,
-2.19,0.0142621,0.0278646,0.01425,0.0142621,0.0142621,0.0142621,
-2.18,0.0146287,0.0274735,0.0146178,0.0146287,0.0146287,0.0146287,
-2.17,0.0150034,0.0271292,0.0149936,0.0150034,0.0150034,0.0150034,
-2.16,0.0153863,0.0268302,0.0153775,0.0153863,0.0153863,0.0153863,
-2.15,0.0157776,0.0265749,0.0157696,0.0157776,0.0157776,0.0157776,
-2.14,0.0161774,0.0263616,0.0161702,0.0161774,0.0161774,0.0161774,
-2.13,0.0165858,0.026189,0.0165794,0.0165858,0.0165858,0.0165858,
-2.12,0.017003,0.0260557,0.0169972,0.017003,0.017003,0.017003,
-2.11,0.0174292,0.0259604,0.017424,0.0174292,0.0174292,0.0174292,
-2.1,0.0178644,0.0259018,0.0178598,0.0178644,0.0178644,0.0178644,
-2.09,0.0183089,0.0258788,0.0183047,0.0183089,0.0183089,0.0183089,
-2.08,0.0187628,0.0258902,0.018759,0.0187628,0.0187628,0.0187628,
-2.07,0.0192262,0.0259349,0.0192228,0.0192262,0.0192262,0.0192262,
-2.06,0.0196993,0.0260119,0.0196963,0.0196993,0.0196993,0.0196993,
-2.05,0.0201822,0.0261203,0.0201795,0.0201822,0.0201822,0.0201822,
-2.04,0.0206752,0.0262592,0.0206727,0.0206752,0.0206752,0.0206752,
-2.03,0.0211783,0.0264277,0.0211761,0.0211783,0.0211783,0.0211783,
-2.02,0.0216917,0.0266249,0.0216898,0.0216917,0.0216917,0.0216917,
-2.01,0.0222156,0.0268502,0.0222139,0.0222156,0.0222156,0.0222156,
-2,0.0227501,0.0271028,0.0227486,0.0227501,0.0227501,0.0227501,
-1.99,0.0232955,0.0273819,0.0232941,0.0232955,0.0232955,0.0232955,
-1.98,0.0238518,0.027687,0.0238505,0.0238518,0.0238518,0.0238518,
-1.97,0.0244192,0.0280175,0.0244181,0.0244192,0.0244192,0.0244192,
-1.96,0.0249979,0.0283727,0.0249969,0.0249979,0.0249979,0.0249979,
-1.95,0.0255881,0.0287522,0.0255872,0.0255881,0.0255881,0.0255881,
-1.94,0.0261898,0.0291554,0.0261891,0.0261898,0.0261898,0.0261898,
-1.93,0.0268034,0.0295819,0.0268027,0.0268034,0.0268034,0.0268034,
-1.92,0.0274289,0.0300312,0.0274283,0.027429,0.027429,0.027429,
-1.91,0.0280666,0.0305029,0.0280661,0.0280666,0.0280666,0.0280666,
-1.9,0.0287166,0.0309967,0.0287161,0.0287166,0.0287166,0.0287166,
-1.89,0.029379,0.0315122,0.0293786,0.029379,0.029379,0.029379,
-1.88,0.030054,0.032049,0.0300537,0.030054,0.030054,0.030054,
-1.87,0.0307419,0.0326069,0.0307416,0.0307419,0.0307419,0.0307419,
-1.86,0.0314428,0.0331856,0.0314425,0.0314428,0.0314428,0.0314428,
-1.85,0.0321568,0.0337849,0.0321565,0.0321568,0.0321568,0.0321568,
-1.84,0.0328841,0.0344044,0.0328839,0.0328841,0.0328841,0.0328841,
-1.83,0.033625,0.0350441,0.0336248,0.033625,0.033625,0.033625,
-1.82,0.0343795,0.0357036,0.0343793,0.0343795,0.0343795,0.0343795,
-1.81,0.0351479,0.0363828,0.0351477,0.0351479,0.0351479,0.0351479,
-1.8,0.0359303,0.0370817,0.0359302,0.0359303,0.0359303,0.0359303,
-1.79,0.036727,0.0377999,0.0367268,0.036727,0.036727,0.036727,
-1.78,0.037538,0.0385375,0.0375379,0.037538,0.037538,0.037538,
-1.77,0.0383636,0.0392942,0.0383635,0.0383636,0.0383636,0.0383636,
-1.76,0.0392039,0.0400701,0.0392038,0.0392039,0.0392039,0.0392039,
-1.75,0.0400592,0.040865,0.0400591,0.0400592,0.0400592,0.0400592,
-1.74,0.0409295,0.0416789,0.0409294,0.0409295,0.0409295,0.0409295,
-1.73,0.0418151,0.0425118,0.0418151,0.0418151,0.0418151,0.0418151,
-1.72,0.0427162,0.0433635,0.0427162,0.0427162,0.0427162,0.0427162,
-1.71,0.0436329,0.0442341,0.0436329,0.0436329,0.0436329,0.0436329,
-1.7,0.0445655,0.0451235,0.0445654,0.0445655,0.0445655,0.0445655,
-1.69,0.045514,0.0460318,0.0455139,0.045514,0.045514,0.045514,
-1.68,0.0464787,0.0469589,0.0464786,0.0464787,0.0464787,0.0464787,
-1.67,0.0474597,0.0479048,0.0474597,0.0474597,0.0474597,0.0474597,
-1.66,0.0484572,0.0488697,0.0484572,0.0484572,0.0484572,0.0484572,
-1.65,0.0494715,0.0498535,0.0494714,0.0494715,0.0494715,0.0494715,
-1.64,0.0505026,0.0508562,0.0505026,0.0505026,0.0505026,0.0505026,
-1.63,0.0515507,0.0518779,0.0515507,0.0515507,0.0515507,0.0515507,
-1.62,0.0526161,0.0529187,0.0526161,0.0526161,0.0526161,0.0526161,
-1.61,0.0536989,0.0539786,0.0536989,0.0536989,0.0536989,0.0536989,
-1.6,0.0547993,0.0550576,0.0547993,0.0547993,0.0547993,0.0547993,
-1.59,0.0559174,0.0561559,0.0559174,0.0559174,0.0559174,0.0559174,
-1.58,0.0570534,0.0572736,0.0570534,0.0570534,0.0570534,0.0570534,
-1.57,0.0582076,0.0584106,0.0582075,0.0582076,0.0582076,0.0582076,
-1.56,0.0593799,0.0595671,0.0593799,0.0593799,0.0593799,0.0593799,
-1.55,0.0605708,0.0607432,0.0605708,0.0605708,0.0605708,0.0605708,
-1.54,0.0617802,0.061939,0.0617802,0.0617802,0.0617802,0.0617802,
-1.53,0.0630084,0.0631545,0.0630084,0.0630084,0.0630084,0.0630084,
-1.52,0.0642555,0.0643899,0.0642555,0.0642555,0.0642555,0.0642555,
-1.51,0.0655217,0.0656453,0.0655217,0.0655217,0.0655217,0.0655217,
